Wavelength,0.115MB_AuNP_MQW,0.115MB_cenAuNP_MQW,0.30MB_AuNP_MQW,0.30MB_cenAuNP_MQW,0.115MB_AuNP_As30,0.115MB_cenAuNP_As30,0.30MB_AuNP_As30_1,0.30MB_cenAuNP_As30
433.0,0.11619,0.11607,0.07739,0.08759,0.11789,0.11626,0.09476,0.08462
434.0,0.11583,0.11594,0.07761,0.08743,0.11755,0.11609,0.09455,0.08426
435.0,0.11604,0.11597,0.07757,0.08744,0.11763,0.11593,0.0945,0.08437
436.0,0.11556,0.11621,0.0775,0.08745,0.11736,0.11596,0.09438,0.08413
437.0,0.11575,0.11551,0.07754,0.08707,0.11762,0.11569,0.09441,0.08388
438.0,0.11539,0.1156,0.07754,0.08696,0.11724,0.11566,0.09429,0.08396
439.0,0.11535,0.11538,0.07752,0.08692,0.11722,0.11551,0.09405,0.08382
440.0,0.1152,0.11537,0.07737,0.08684,0.11719,0.11557,0.09394,0.0837
441.0,0.11507,0.11539,0.0776,0.08654,0.11713,0.11534,0.09387,0.08351
442.0,0.11517,0.11518,0.07733,0.08649,0.11709,0.11525,0.09386,0.08348
443.0,0.11475,0.11529,0.07727,0.08636,0.1169,0.11533,0.09361,0.08348
444.0,0.11482,0.11526,0.07718,0.08634,0.11694,0.11528,0.09353,0.08332
445.0,0.11453,0.11529,0.07705,0.08604,0.11684,0.11528,0.09337,0.08322
446.0,0.1145,0.11501,0.07693,0.08578,0.11689,0.11497,0.09335,0.08288
447.0,0.11448,0.11505,0.07676,0.08567,0.11679,0.11517,0.09329,0.08307
448.0,0.11425,0.11515,0.07675,0.0858,0.11678,0.11518,0.09319,0.08278
449.0,0.11428,0.1151,0.07653,0.08561,0.11679,0.11527,0.09311,0.08293
450.0,0.11428,0.11524,0.07641,0.08554,0.11689,0.11527,0.09304,0.08277
451.0,0.11435,0.11505,0.0763,0.08524,0.11688,0.11511,0.09298,0.0825
452.0,0.11427,0.11498,0.07622,0.08493,0.11696,0.11513,0.09296,0.08234
453.0,0.11402,0.11519,0.07597,0.08519,0.11687,0.11535,0.09276,0.08249
454.0,0.11427,0.1153,0.07609,0.08511,0.11731,0.11541,0.09298,0.0824
455.0,0.11418,0.11567,0.07572,0.08503,0.11715,0.11553,0.09274,0.08235
456.0,0.1144,0.11529,0.07569,0.08462,0.1174,0.11543,0.09271,0.08211
457.0,0.11422,0.11551,0.07537,0.08465,0.11742,0.11567,0.09286,0.08192
